"full_name","e","q","i","om","w","ad","per_y","class","n_obs_used","A1","A2","A3","DT","spkid","prefix","neo","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","a","ma","n","tp","per","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","rms","A1_sigma","A2_sigma","A3_sigma","DT_sigma"
"     C/2000 L1 (SOHO)",1.0000,0.005,144.03,12.66,89.94,,,PAR,17,,,,,1001524,C,,,,,,,,,,,,SAO_2008,2451699.5,51699,2000-06-03.9,J2000,,,,2451699.47,,,,,,,,,,,,,,,,,,,,,
"     C/2000 L2 (SOHO)",1.0000,0.006,143.42,4.67,83.74,,,PAR,14,,,,,1001525,C,,,,,,,,,,,,SAO_2008,2451705.8,51705,2000-06-10.3,J2000,,,,2451705.80,,,,,,,,,,,,,,,,,,,,,
"     C/2000 L3 (SOHO)",1.0000,0.005,145.41,340.31,61.59,,,PAR,9,,,,,1001526,C,,,,,,,,,,,,SAO_2008,2451706.1,51706,2000-06-10.5,J2000,,,,2451706.07,,,,,,,,,,,,,,,,,,,,,
"     C/2000 L4 (SOHO)",1.0000,0.006,142.19,4.89,84.38,,,PAR,13,,,,,1001527,C,,,,,,,,,,,,SAO_2008,2451710.5,51710,2000-06-15.0,J2000,,,,2451710.53,,,,,,,,,,,,,,,,,,,,,
"     C/2000 L5 (SOHO)",1.0000,0.007,143.99,9.05,87.54,,,PAR,19,,,,,1001528,C,,,,,,,,,,,,SAO_2008,2451711.6,51711,2000-06-16.0,J2000,,,,2451711.58,,,,,,,,,,,,,,,,,,,,,
"     C/2000 L6 (SOHO)",1.0000,0.007,141.06,309.34,31.92,,,PAR,7,,,,,1001529,C,,,,,,,,,,,,SAO_2008,2451707.1,51707,2000-06-11.6,J2000,,,,2451707.10,,,,,,,,,,,,,,,,,,,,,
"     C/2000 M1 (SOHO)",1.0000,0.005,144.96,5.22,83.93,,,PAR,38,,,,,1001530,C,,,,,,,,,,,,SAO_2008,2451713.8,51713,2000-06-18.2,J2000,,,,2451713.77,,,,,,,,,,,,,,,,,,,,,
"     C/2000 M2 (SOHO)",1.0000,0.005,144.01,12.65,90.04,,,PAR,23,,,,,1001531,C,,,,,,,,,,,,SAO_2008,2451714.2,51714,2000-06-18.6,J2000,,,,2451714.17,,,,,,,,,,,,,,,,,,,,,
"     C/2000 M3 (SOHO)",1.0000,0.005,145.25,347.41,67.80,,,PAR,13,,,,,1001532,C,,,,,,,,,,,,SAO_2008,2451715.3,51715,2000-06-19.7,J2000,,,,2451715.26,,,,,,,,,,,,,,,,,,,,,
"     C/2000 M4 (SOHO)",1.0000,0.005,145.77,343.32,63.33,,,PAR,15,,,,,1001533,C,,,,,,,,,,,,SAO_2008,2451718.1,51718,2000-06-22.5,J2000,,,,2451718.07,,,,,,,,,,,,,,,,,,,,,
"     C/2000 M5 (SOHO)",1.0000,0.007,146.53,354.90,73.57,,,PAR,6,,,,,1001534,C,,,,,,,,,,,,SAO_2008,2451720.0,51720,2000-06-24.5,J2000,,,,2451720.02,,,,,,,,,,,,,,,,,,,,,
"     C/2000 M6 (SOHO)",1.0000,0.005,145.19,2.90,81.87,,,PAR,14,,,,,1001535,C,,,,,,,,,,,,SAO_2008,2451721.4,51721,2000-06-25.9,J2000,,,,2451721.41,,,,,,,,,,,,,,,,,,,,,
"     C/2000 M7 (SOHO)",1.0000,0.005,144.40,1.59,80.82,,,PAR,40,,,,,1001536,C,,,,,,,,,,,,SAO_2008,2451722.9,51722,2000-06-27.4,J2000,,,,2451722.92,,,,,,,,,,,,,,,,,,,,,
"     C/2000 M8 (SOHO)",1.0000,0.005,142.18,15.71,93.94,,,PAR,21,,,,,1001537,C,,,,,,,,,,,,SAO_2008,2451723.9,51723,2000-06-28.3,J2000,,,,2451723.89,,,,,,,,,,,,,,,,,,,,,
"     C/2000 M9 (SOHO)",1.0000,0.005,144.53,7.63,86.17,,,PAR,35,,,,,1001538,C,,,,,,,,,,,,SAO_2008,2451727.5,51727,2000-07-01.9,J2000,,,,2451727.47,,,,,,,,,,,,,,,,,,,,,
